Alpha,rf1b6,rf1b10,rf3b6,rf3b10,rf4b6,rf4b10,rf7b6,rf7b10
0.01,0.027,0.024,0.023,0.021,0.015,0.014,0.02,0.022
0.11888888888888888,0.24,0.267,0.193,0.203,0.199,0.203,0.177,0.195
0.22777777777777777,0.415,0.455,0.324,0.385,0.332,0.373,0.292,0.293
0.33666666666666667,0.537,0.557,0.447,0.452,0.415,0.487,0.403,0.433
0.44555555555555554,0.623,0.653,0.53,0.539,0.511,0.571,0.471,0.483
0.5544444444444444,0.668,0.711,0.556,0.597,0.591,0.609,0.521,0.543
0.6633333333333333,0.697,0.745,0.619,0.638,0.595,0.641,0.558,0.588
0.7722222222222221,0.735,0.765,0.657,0.687,0.661,0.691,0.599,0.641
0.8811111111111111,0.781,0.813,0.675,0.7,0.671,0.727,0.649,0.665
0.99,0.775,0.815,0.704,0.721,0.713,0.765,0.657,0.689
