Alpha,rf1b6,rf1b10,rf3b6,rf3b10,rf4b6,rf4b10,rf7b6,rf7b10
0.01,0.021,0.031,0.017,0.025,0.023,0.025,0.011,0.017
0.11888888888888888,0.247,0.274,0.193,0.228,0.203,0.235,0.187,0.213
0.22777777777777777,0.413,0.435,0.33,0.375,0.336,0.389,0.305,0.317
0.33666666666666667,0.531,0.564,0.459,0.476,0.461,0.491,0.379,0.415
0.44555555555555554,0.587,0.631,0.486,0.567,0.505,0.567,0.456,0.495
0.5544444444444444,0.668,0.713,0.535,0.619,0.578,0.616,0.511,0.558
0.6633333333333333,0.699,0.747,0.6,0.645,0.632,0.681,0.558,0.613
0.7722222222222221,0.741,0.77,0.629,0.681,0.663,0.687,0.569,0.643
0.8811111111111111,0.75,0.784,0.671,0.712,0.697,0.717,0.6,0.671
0.99,0.783,0.833,0.682,0.739,0.725,0.773,0.65,0.687
